Even Semi-Skimmed Milk 1L,GH₵12.62,1,1,GH₵12.62,GH₵12.62
Ceres Guava Juice 1L 100% Juice Blend,GH₵12.62,1,1,GH₵12.62,GH₵12.62
Ceres Season's Treasures 1L 100% Juice Blend,GH₵12.62,1,1,GH₵12.62,GH₵12.62
Sunny Brown Sugar 1kg,GH₵13.13,1,1,GH₵13.13,GH₵13.13
Nana's Rice 1kg - Short Grain Rice,GH₵14.00,1,1,GH₵14.00,GH₵14.00
McVities Digestive Biscuits Original 400g,GH₵14.14,1,1,GH₵14.14,GH₵14.14
Nescafe Breakfast 3 in 1 (32g),GH₵14.14,1,1,GH₵14.14,GH₵14.14
Nutella Hazelnut Spread 180g,GH₵15.50,1,1,GH₵15.50,GH₵15.50
Top Choco 650g,GH₵16.00,1,1,GH₵16.00,GH₵16.00
McVities Digestive Milk Chocolate Biscuits 200g,GH₵16.01,1,1,GH₵16.01,GH₵16.01
Bel Aqua 17L,GH₵16.80,1,1,GH₵16.80,GH₵16.80
Gino Thai Jasmine Rice 1kg,GH₵17.00,1,1,GH₵17.00,GH₵17.00
Cowbell Milk 400g Sachet,GH₵18.17,1,1,GH₵18.17,GH₵18.17
Quaker White Oats 500g,GH₵18.17,1,1,GH₵18.17,GH₵18.17
Milo Tin - Hot Chocolate 400g,GH₵18.85,1,1,GH₵18.85,GH₵18.85
Alpro Almond Milk - 1L,GH₵20.00,1,1,GH₵20.00,GH₵20.00
Lipton Yellow Label Tea Big Box 100 bags,GH₵20.19,1,1,GH₵20.19,GH₵20.19
Cadbury Richoco 1Kg,GH₵20.19,1,1,GH₵20.19,GH₵20.19
Stute 430g Fine Cut Orange Jam Sugar Free,GH₵20.70,1,1,GH₵20.70,GH₵20.70
Hords Brown Gold 400g Natural Cocoa Powder,GH₵20.70,1,1,GH₵20.70,GH₵20.70
Milo Sachet 400g,GH₵21.60,1,1,GH₵21.60,GH₵21.60
Nido Essentia Sachet - 365g,GH₵23.00,1,1,GH₵23.00,GH₵23.00
Emborg Cook and Bake Butter 200g,GH₵24.23,1,1,GH₵24.23,GH₵24.23
Tasty Tom 2.2kg,GH₵25.00,1,1,GH₵25.00,GH₵25.00
Ovaltine 400g Malted Food Drink,GH₵27.26,1,1,GH₵27.26,GH₵27.26
Crate of 30 fresh eggs,GH₵28.27,1,1,GH₵28.27,GH₵28.27
Choco Delight 500g,GH₵29.90,1,1,GH₵29.90,GH₵29.90
Tomatoes 1kg,GH₵30.00,1,1,GH₵30.00,GH₵30.00
Listerine Fresh Burst Mouthwash 500ml,GH₵30.29,1,1,GH₵30.29,GH₵30.29
Nutella Hazelnut Spread 350g,GH₵30.29,1,1,GH₵30.29,GH₵30.29
Beans -Olonka,GH₵30.29,1,1,GH₵30.29,GH₵30.29
Milo Sachet 800g,GH₵30.54,1,1,GH₵30.54,GH₵30.54
Pepsodent Cavity Fighter 175g(Pack of 6),GH₵38.37,1,1,GH₵38.37,GH₵38.37
Peak Powdered Milk 900g,GH₵62.10,1,1,GH₵62.10,GH₵62.10
Yazz 3kg Washing Soap Activ Detergent with Enzymes Sachet,GH₵64.50,1,1,GH₵64.50,GH₵64.50
Aptamil First Stage Milk 800g,GH₵119.90,1,1,GH₵119.90,GH₵119.90
Famous Amos Chocolate Cookies 56g,GH₵120.00,1,1,GH₵120.00,GH₵120.00
Secondary School Package,GH₵166.60,1,1,GH₵166.60,GH₵166.60
Royal Aroma Fortified Rice 4.5x5kg,GH₵182.00,1,1,GH₵182.00,GH₵182.00
Ideal Original Sachet 26g - Carton,GH₵205.00,1,1,GH₵205.00,GH₵205.00
Sunny Brown Sugar 25kg,GH₵246.68,1,1,GH₵246.68,GH₵246.68
Silver Hamper,GH₵252.43,1,1,GH₵252.43,GH₵252.43
Secondary School Package 2,GH₵230.00,2,1,GH₵115.00,GH₵115.00
Nhyira Long Grain Rice 5*5kg,GH₵241.50,5,1,GH₵48.30,GH₵48.30
Peak Milk (Green) Sachets 30g -Strip of 6,GH₵6.06,6,1,GH₵1.01,GH₵1.01
Creamy Plus Evaporated Milk 170g (Pack of 6),GH₵18.00,6,1,GH₵3.00,GH₵3.00
Coca Cola 330ml Can (6 Pack),GH₵20.40,6,1,GH₵3.40,GH₵3.40
Pepsodent Herbal Toothpaste 140g(pack of 6),GH₵42.00,6,1,GH₵7.00,GH₵7.00
Tomatoes 2kg,GH₵49.00,6,1,GH₵8.17,GH₵8.17
Coca Cola 1.5L - Pack of 6,GH₵62.00,6,1,GH₵10.33,GH₵10.33
Sprite 1.5L - Pack of 6,GH₵62.00,6,1,GH₵10.33,GH₵10.33
Milo Sachets 20g (Strip of 10),GH₵7.57,10,1,GH₵0.76,GH₵0.76
Nido Essentia 14g Sachet (Strip of 10),GH₵8.08,10,1,GH₵0.81,GH₵0.81
Cowbell Sachets 23g (Strip of 10),GH₵10.10,10,1,GH₵1.01,GH₵1.01
Cadbury Hot Chocolate Drink 3-in-1(Strip of 10),GH₵10.10,10,1,GH₵1.01,GH₵1.01
Ideal Original Sachet - 29g(strip of 10),GH₵13.09,10,1,GH₵1.31,GH₵1.31
Nescafe Breakfast 3 in 1 (32g) Strip of 10,GH₵14.14,10,1,GH₵1.41,GH₵1.41
This way Chocolate Drink 40g (Strips of 10),GH₵14.59,10,1,GH₵1.46,GH₵1.46
Cowbell Strawberry Milk 40g (Strip of 10),GH₵16.10,10,1,GH₵1.61,GH₵1.61
Cowbell Mocha Milk 40g (Strip of 10),GH₵16.10,10,1,GH₵1.61,GH₵1.61
Nido Essentia 26g Sachet (Strip of 10),GH₵20.54,10,1,GH₵2.05,GH₵2.05
Golden Tree Chocolate 100g(Pack of 10),GH₵75.70,10,1,GH₵7.57,GH₵7.57
Crate Of 12 Fresh Eggs,GH₵14.14,12,1,GH₵1.18,GH₵1.18
Nkatie Burger Peanut Snack (Pack of 12),GH₵15.15,12,1,GH₵1.26,GH₵1.26
Jack 'n' Jill Biscuit (12 pieces),GH₵16.40,12,1,GH₵1.37,GH₵1.37
Voltic 1.5L Bottled Water (Box of 12),GH₵26.25,12,1,GH₵2.19,GH₵2.19
Bel Aqua 1.5L Bottled Water (Box of 12),GH₵28.75,12,1,GH₵2.40,GH₵2.40
Fanta Orange 300ml - Pack of 12,GH₵30.00,12,1,GH₵2.50,GH₵2.50
Coca Cola 300ml - Pack of 12,GH₵30.00,12,1,GH₵2.50,GH₵2.50
Fanta Lemon 300ml - Pack of 12,GH₵30.00,12,1,GH₵2.50,GH₵2.50
Sprite 300ml - Pack of 12,GH₵30.00,12,1,GH₵2.50,GH₵2.50
Colgate Herbal Toothpaste 140g (Pack of 12),GH₵96.93,12,1,GH₵8.08,GH₵8.08
Peak Full Cream Milk 1L (Pack of 12),GH₵122.99,12,1,GH₵10.25,GH₵10.25
Milo Sachet 400g - Pack of 12,GH₵187.81,12,1,GH₵15.65,GH₵15.65
Nido Essentia 26g Sachet Strip of 10 (Box of 12 strips),GH₵188.60,12,1,GH₵15.72,GH₵15.72
Milo Tin 400g - (Carton of 12),GH₵226.19,12,1,GH₵18.85,GH₵18.85
Milo Sachet 800g - (Pack of 12),GH₵339.26,12,1,GH₵28.27,GH₵28.27
Verna 500ml Natural Mineral Water (Pack of 15),GH₵13.13,15,1,GH₵0.88,GH₵0.88
Bel Aqua 330ml Bottled Water (Pack of 15),GH₵13.13,15,1,GH₵0.88,GH₵0.88
Bel Aqua 750ml Bottled Water (Pack of 15),GH₵14.50,15,1,GH₵0.97,GH₵0.97
Awake Mineral Water 500ml x 15,GH₵15.00,15,1,GH₵1.00,GH₵1.00
Bel Aqua 500ml Bottled Water (Pack of 15),GH₵15.00,15,1,GH₵1.00,GH₵1.00
Voltic 500ml Bottled Water (Pack of 15),GH₵15.15,15,1,GH₵1.01,GH₵1.01
Bel Aqua 750ml Bottled Water (Pack of 15),GH₵20.19,15,1,GH₵1.35,GH₵1.35
Vega Spaghetti 500g(pack of 20),GH₵50.00,20,1,GH₵2.50,GH₵2.50
Oba Spaghetti 475g (Box of 20),GH₵63.25,20,1,GH₵3.16,GH₵3.16
Golden Tree Chocolate 50g (Box of 20pcs),GH₵75.70,20,1,GH₵3.79,GH₵3.79
Bel Aqua 500ml Bottled Water (Box of 24),GH₵25.00,24,1,GH₵1.04,GH₵1.04
Peak Milk (Green) Low Cholesterol 160g 24tins,GH₵75.73,24,1,GH₵3.16,GH₵3.16
Carnation Milk 160g (24 Tins) Full Cream Evaporated,GH₵77.00,24,1,GH₵3.21,GH₵3.21
Fanta 330ml Can - Pack of 24,GH₵82.00,24,1,GH₵3.42,GH₵3.42
Coca Cola 330ml Can - Pack of 24,GH₵82.00,24,1,GH₵3.42,GH₵3.42
Sprite 330ml Carton of 24,GH₵82.00,24,1,GH₵3.42,GH₵3.42
Tasty Tom Tomato Paste 210g (Box of 24),GH₵95.00,24,1,GH₵3.96,GH₵3.96
Ideal Milk 160g 24tins,GH₵97.54,24,1,GH₵4.06,GH₵4.06
Lipton Yellow Label Tea Small Box 50g x 24,GH₵121.17,24,1,GH₵5.05,GH₵5.05
Tasty Tom Tomato Paste 400g (Box of 24),GH₵164.40,24,1,GH₵6.85,GH₵6.85
Cowbell Sachets 14g Strip of 10 (Box of 24 strips),GH₵180.74,24,1,GH₵7.53,GH₵7.53
Ideal Milk Creamy 160g 24tins,GH₵208.00,24,1,GH₵8.67,GH₵8.67
Ensure Milk Original Chocolate 237ml (Box of 24),GH₵292.00,24,1,GH₵12.17,GH₵12.17
Oreo Chocolate Sandwich Cookies 68g (Box of 30),GH₵111.07,30,1,GH₵3.70,GH₵3.70
Milo Sachets 20g (Strip of 10) Box of 30,GH₵229.99,30,1,GH₵7.67,GH₵7.67
Nutrisnax Oat Digestive Biscuit - Box of 36,GH₵80.78,36,1,GH₵2.24,GH₵2.24
Indomie Onion Chicken 70g (box of 40),GH₵57.55,40,1,GH₵1.44,GH₵1.44
Indomie Chicken 70g (box of 40),GH₵63.25,40,1,GH₵1.58,GH₵1.58
Indomie Onion chicken Super Pack 120g (Box of 40),GH₵90.77,40,1,GH₵2.27,GH₵2.27
Indomie Chicken Super Pack 120g (Box of 40),GH₵90.77,40,1,GH₵2.27,GH₵2.27
Choco Milo Energy Cubes 2.75gx50 - (Box of 40),GH₵227.18,40,1,GH₵5.68,GH₵5.68
Heinz Baked Beans 200g - Pack of 48,GH₵191.84,48,1,GH₵4.00,GH₵4.00
Choco Milo Energy Cubes 2.75g x 50 (Pack),GH₵6.06,50,1,GH₵0.12,GH₵0.12
Sunny White Sugar Sticks 10g (Pack of 50),GH₵14.90,50,1,GH₵0.30,GH₵0.30
Geisha Mackerel in Tomato sauce 155g - Box of 50,GH₵171.65,50,1,GH₵3.43,GH₵3.43
Milo Sardine 125g- Box of 50,GH₵181.75,50,1,GH₵3.64,GH₵3.64
Maggi Shrimp Cubes (Pack of 60),GH₵13.13,60,1,GH₵0.22,GH₵0.22
Maggi Chicken Cubes (Pack of 60),GH₵16.00,60,1,GH₵0.27,GH₵0.27
Onga Shrimp Cube (Pack of 64),GH₵17.83,64,1,GH₵0.28,GH₵0.28
Cowbell Strawberry 40g (Strip of 10 x 8),GH₵106.02,80,1,GH₵1.33,GH₵1.33
Nescafe Classic 2g - Pack of 120,GH₵66.30,120,1,GH₵0.55,GH₵0.55
